,,,Date,,Salesman GK,,Amount
"Jan 1, '23 - Jun 11, 26",,,,,,,
,,,05/19/2026,,"5,220.39",,"99,663.39"
,,,05/19/2026,,,,"3,360.00"
,,,05/19/2026,,5670,,"148,554.00"
,,,05/19/2026,,46846.8,,"1,384,110.00"
,,,05/19/2026,,5.04%(51171.58),,"1,014,895.00"
,,,05/19/2026,,6738.63,,"65,414.00"
,,,05/19/2026,,30624.4,,"776,160.00"
,,,05/19/2026,,30624.4,,"16,800.00"
,,,05/19/2026,,3000,,"15,000.00"
,,,05/18/2026,,"34,690",,"381,535.00"
,,,05/18/2026,,,,"161,280.00"
,,,05/18/2026,,,,"2,800.00"
,,,05/18/2026,,3150,,"7,000.00"
,,,05/18/2026,,,,"16,500.00"
,,,05/18/2026,,"159,429.57",,"2,194,548.00"
,,,05/15/2026,,5636,,"94,640.00"
,,,05/15/2026,,5636,,"12,000.00"
,,,05/15/2026,,57697.82,,"927,189.00"
,,,05/15/2026,,,,"15,000.00"
,,,05/15/2026,,786,,"24,840.00"
,,,05/15/2026,,786,,"3,000.00"
,,,05/14/2026,,10583.52,,"20,000.00"
,,,05/14/2026,,"93,729.29",,"1,179,205.00"
,,,05/14/2026,,2250,,"36,750.00"
,,,05/14/2026,,,,"3,000.00"
,,,05/14/2026,,602,,0.00
,,,05/14/2026,,189493.52,,"2,082,662.00"
,,,05/14/2026,,33600,,"302,400.00"
,,,05/14/2026,,27038.24,,"193,289.00"
,,,05/14/2026,,6484.59,,"56,056.00"
,,,05/14/2026,,2240,,"13,440.00"
,,,05/13/2026,,32400,,"212,400.00"
,,,05/13/2026,,"224,093.52",,0.00
,,,05/13/2026,,,,"14,000.00"
,,,05/13/2026,,"185,952",,"1,424,592.00"
,,,05/13/2026,,,,"14,000.00"
,,,05/13/2026,,26506,,"165,570.00"
,,,05/13/2026,,9294,,"339,969.00"
,,,05/12/2026,,"2,718.75",,"34,650.00"
,,,05/12/2026,,24407,,"450,884.00"
,,,05/12/2026,,,,"66,372.00"
,,,05/12/2026,,,,"11,500.00"
,,,05/12/2026,,18902.82,,"151,227.00"
,,,05/12/2026,,32120.44,,"378,320.00"
,,,05/12/2026,,,,"19,600.00"
,,,05/12/2026,,"10,703.39",,"118,853.00"
,,,05/12/2026,,19191.56,,0.00
,,,05/12/2026,,6308.5,,"84,700.00"
,,,05/12/2026,,52477.68,,"785,500.00"
,,,05/12/2026,,,,"39,000.00"
,,,05/12/2026,,"8,214",,"176,713.60"
,,,05/12/2026,,,,"12,000.00"
,,,05/12/2026,,54934.21,,"714,750.00"
,,,05/12/2026,,1000,,"16,000.00"
,,,05/12/2026,,1000,,"50,984.00"
,,,05/11/2026,,,,"1,000.00"
,,,05/11/2026,,540,,"7,320.00"
,,,05/11/2026,,"17,092.25",,"238,788.00"
,,,05/11/2026,,"8,058.6",,"99,677.00"
,,,05/11/2026,,400,,"9,165.00"
,,,05/11/2026,,614,,"14,118.00"
,,,05/11/2026,,1309.6,,"14,248.00"
,,,05/11/2026,,1309.6,,"3,000.00"
,,,05/11/2026,,13045.68,,"302,388.00"
,,,05/11/2026,,13045.68,,"13,000.00"
,,,05/09/2026,,"224,093.52",,"1,000.00"
,,,05/08/2026,,33314,,"581,718.00"
,,,05/08/2026,,78809.48,,"735,909.00"
,,,05/08/2026,,,,"27,160.00"
,,,05/08/2026,,118980,,"1,176,000.00"
,,,05/08/2026,,,,"43,700.00"
,,,05/08/2026,,"17,465",,"209,265.00"
,,,05/08/2026,,1675.33,,"59,812.00"
,,,05/08/2026,,,,"6,000.00"
,,,05/08/2026,,"14,378.46",,"193,050.00"
,,,05/08/2026,,,,"336,461.00"
,,,05/07/2026,,42142,,"362,700.00"
,,,05/07/2026,,600,,"2,800.00"
,,,05/07/2026,,189236.58,,"2,505,600.00"
,,,05/07/2026,,189236.58,,"30,000.00"
,,,05/07/2026,,340,,"3,680.00"
,,,05/07/2026,,9932.5,,"168,132.00"
,,,05/06/2026,,4633.71,,"29,600.00"
,,,05/06/2026,,4633.71,,"29,600.00"
,,,05/06/2026,,"9,120",,"160,640.00"
,,,05/06/2026,,"29,542.33",,"369,672.00"
,,,05/06/2026,,"4,353.57",,"111,055.00"
,,,05/06/2026,,17144.6,,"298,480.00"
,,,05/06/2026,,,,"10,000.00"
,,,05/06/2026,,771,,"21,150.00"
,,,05/06/2026,,"1,853.2",,"28,560.00"
,,,05/06/2026,,,,"1,200.00"
,,,05/06/2026,,2575,,"14,200.00"
,,,05/06/2026,,3024,,"45,761.76"
,,,05/06/2026,,17100,,"54,900.00"
,,,05/06/2026,,11584.29,,"74,000.00"
,,,05/06/2026,,6950.57,,"44,400.00"
,,,05/05/2026,,1246,,"28,002.00"
,,,05/05/2026,,780,,"16,380.00"
,,,05/05/2026,,49559.50,,"975,770.00"
,,,05/05/2026,,31911.71,,"191,476.00"
,,,05/05/2026,,20757.5,,"307,640.00"
,,,05/05/2026,,903.42,,"13,862.00"
,,,05/05/2026,,,,"17,500.00"
,,,05/05/2026,,11462.5,,"106,500.00"
,,,05/05/2026,,20940.04,,"184,466.00"
,,,05/05/2026,,,,"38,416.00"
,,,05/05/2026,,6861,,"145,657.00"
,,,05/05/2026,,,,"3,000.00"
,,,05/04/2026,,1550.57,,"39,000.00"
,,,05/04/2026,,"13,444",,"157,280.00"
,,,05/04/2026,,,,"7,000.00"
,,,05/04/2026,,"10,860",,"165,320.00"
,,,05/04/2026,,,,"6,500.00"
,,,05/04/2026,,2162.91,,"182,958.00"
,,,05/04/2026,,,,"37,500.00"
,,,05/04/2026,,12414.4,,"225,280.00"
,,,05/04/2026,,240,,"3,600.00"
,,,05/04/2026,,368.18,,"7,731.82"
,,,05/04/2026,,,,"3,200.00"
,,,04/30/2026,,11000,,"84,000.00"
,,,04/30/2026,,4152.04,,"42,148.00"
,,,04/30/2026,,771,,0.00
,,,04/30/2026,,21068.58,,"216,315.00"
,,,04/30/2026,,,,"18,000.00"
,,,04/30/2026,,8352.4,,"56,548.00"
,,,04/30/2026,,,,"5,000.00"
,,,04/29/2026,,503,,"3,410.00"
,,,04/29/2026,,3036,,"23,320.00"
,,,04/29/2026,,"5,800.9",,"159,565.00"
,,,04/29/2026,,,,"10,000.00"
,,,04/29/2026,,13278.33,,"201,083.00"
,,,04/29/2026,,5937.95,,"164,247.00"
,,,04/29/2026,,132776,,"1,527,836.00"
,,,04/29/2026,,,,"78,000.00"
,,,04/29/2026,,13278.33,,"7,917.00"
,,,04/28/2026,,3850,,"80,860.00"
,,,04/28/2026,,"2,200",,"24,200.00"
,,,04/28/2026,,30,,300.00
,,,04/28/2026,,3308,,"30,556.00"
,,,04/28/2026,,600,,"12,300.00"
,,,04/28/2026,,,,"3,000.00"
,,,04/27/2026,,17782,,"290,250.00"
,,,04/27/2026,,,,"12,320.00"
,,,04/27/2026,,240,,480.00
,,,04/27/2026,,"41,293.78",,"1,593,790.00"
,,,04/27/2026,,27400,,"365,400.00"
,,,04/27/2026,,169285.83,,"2,010,826.00"
,,,04/27/2026,,5644.80,,"21,324.80"
,,,04/27/2026,,3420,,"26,220.00"
,,,04/27/2026,,17279.5,,"120,400.00"
,,,04/27/2026,,21164,,"153,238.00"
,,,04/27/2026,,194480,,"1,455,000.00"
,,,04/27/2026,,7852.37,,"44,400.00"
,,,04/27/2026,,7852.37,,"44,400.00"
,,,04/27/2026,,7852.37,,"44,400.00"
,,,04/27/2026,,7852.37,,"44,400.00"
,,,04/24/2026,,1889.3,,"60,700.00"
,,,04/24/2026,,1212,,"25,412.00"
,,,04/24/2026,,725.88,,"7,107.00"
,,,04/24/2026,,2021.72,,"47,501.00"
,,,04/24/2026,,2037.8,,"16,000.00"
,,,04/24/2026,,690,,"6,915.00"
,,,04/23/2026,,27648,,"755,712.00"
,,,04/23/2026,,,,"36,150.00"
,,,04/23/2026,,3602.40,,"93,480.00"
,,,04/23/2026,,,,"3,000.00"
,,,04/23/2026,,"10,195.76",,"171,945.00"
,,,04/23/2026,,"17,479",,"1,082,500.00"
,,,04/22/2026,,57722.35,,"187,539.00"
,,,04/22/2026,,57722.35,,"296,816.00"
,,,04/22/2026,,18447.04,,"224,158.00"
,,,04/22/2026,,,,"3,000.00"
,,,04/21/2026,,2259.54,,"15,276.00"
,,,04/21/2026,,2240,,"13,440.00"
,,,04/21/2026,,"31,360.71",,"540,800.00"
,,,04/21/2026,,34132.61,,"288,221.00"
,,,04/21/2026,,33917.01,,"1,622,078.25"
,,,04/20/2026,,"1,284.7",,"25,390.00"
,,,04/20/2026,,,,"3,000.00"
,,,04/20/2026,,1708,,"9,260.00"
,,,04/20/2026,,"97,375.72",,"1,500,290.00"
,,,04/20/2026,,16593.25,,"534,333.00"
,,,04/20/2026,,600,,"15,000.00"
,,,04/20/2026,,3736.98,,"110,509.74"
,,,04/20/2026,,,,"1,500.00"
,,,04/17/2026,,28214.14,,"433,643.00"
,,,04/17/2026,,49.41,,"1,266.00"
,,,04/17/2026,,38345,,"310,000.00"
,,,04/17/2026,,18657,,"218,727.00"
,,,04/17/2026,,"331,560.80 (17%)",,"1,981,800.00"
,,,04/17/2026,,127483.17,,"1,556,670.00"
,,,04/17/2026,,1500,,"49,716.00"
,,,04/17/2026,,"166,582.10 (11%)",,"1,523,654.31"
,,,04/16/2026,,4150,,"43,808.00"
,,,04/16/2026,,725.88,,"7,107.00"
,,,04/16/2026,,226739.68,,"2,419,285.00"
,,,04/16/2026,,11100,,"86,100.00"
,,,04/16/2026,,1681.86,,"13,444.00"
,,,04/16/2026,,"12,196.29",,"74,000.00"
,,,04/16/2026,,7317.77,,"44,400.00"
,,,04/16/2026,,200,,"3,800.00"
,,,04/16/2026,,19489,,"18,000.00"
,,,04/15/2026,,150,,"1,950.00"
,,,04/15/2026,,631.14/3.8%,,"20,490.00"
,,,04/15/2026,,,,"3,000.00"
,,,04/15/2026,,61785.41,,"1,038,234.42"
,,,04/15/2026,,5.9%,,"90,000.00"
,,,04/15/2026,,5681,,"46,284.00"
,,,04/15/2026,,29006,,"725,760.00"
,,,04/15/2026,,"94,719.8",,"1,040,198.00"
,,,04/15/2026,,7798.19,,"88,980.00"
,,,04/15/2026,,,,"350,000.00"
,,,04/15/2026,,94719.8,,"1,040,198.00"
,,,04/15/2026,,,,"350,000.00"
,,,04/15/2026,,43950,,"980,000.00"
,,,04/15/2026,,31259,,"663,000.00"
,,,04/15/2026,,6764,,"138,400.00"
,,,04/15/2026,,21586,,"466,000.00"
,,,04/14/2026,,"12,186.6",,"205,740.00"
,,,04/14/2026,,18335.06,,"233,896.00"
,,,04/14/2026,,,,"13,340.00"
,,,04/14/2026,,1867,,"22,349.00"
,,,04/14/2026,,,,"10,000.00"
,,,04/14/2026,,106,,"1,626.00"
,,,04/14/2026,,34353,,"376,503.00"
,,,04/14/2026,,22659.57,,"43,700.00"
,,,04/14/2026,,2121,,"15,876.00"
,,,04/14/2026,,34319.14,,"317,600.00"
,,,04/13/2026,,"18,748.29",,"212,800.00"
,,,04/13/2026,,13704.03,,"340,659.00"
,,,04/13/2026,,,,"5,000.00"
,,,04/13/2026,,344833,,"5,629,690.00"
,,,04/13/2026,,"51,969.93",,"428,940.00"
,,,04/13/2026,,"103,507.14",,"1,229,100.00"
,,,04/13/2026,,20642,,"272,364.00"
,,,04/13/2026,,18161,,"285,717.00"
,,,04/13/2026,,23224,,"306,437.00"
,,,04/13/2026,,,,"20,000.00"
,,,04/13/2026,,"90,759.04",,0.00
,,,04/13/2026,,,,"212,000.00"
,,,04/13/2026,,10099.99,,"200,000.00"
,,,04/13/2026,,386881.84,,"4,097,327.00"
,,,04/13/2026,,,,"106,000.00"
,,,04/13/2026,,25174,,"271,215.00"
,,,04/13/2026,,1284,,"23,622.00"
,,,04/10/2026,,"14,632.83",,"308,070.00"
,,,04/10/2026,,"8,325.64",,"44,700.00"
,,,04/10/2026,,"126,125.88",,"1,133,901.00"
,,,04/10/2026,,,,"10,662.40"
,,,04/10/2026,,368,,"9,608.00"
,,,04/08/2026,,9523,,"166,000.00"
,,,04/08/2026,,,,"12,000.00"
,,,04/08/2026,,,,0.00
,,,04/08/2026,,,,"34,250.00"
,,,04/08/2026,,728.66,,"8,010.00"
,,,04/08/2026,,596,,0.00
,,,04/08/2026,,1610,,0.00
,,,04/08/2026,,2100,,0.00
,,,04/08/2026,,5797.15,,"73,040.00"
,,,04/07/2026,,61200,,"1,015,920.00"
,,,04/07/2026,,4800,,"137,100.00"
,,,04/07/2026,,"6,571.43",,"69,000.00"
,,,04/07/2026,,,,"3,000.00"
,,,04/07/2026,,,,"3,000.00"
,,,04/07/2026,,3698.64,,"56,232.00"
,,,04/07/2026,,1168.71,,"26,940.00"
,,,04/07/2026,,282.12,,"2,670.00"
,,,04/07/2026,,"62,978.6",,"1,051,024.00"
,,,04/07/2026,,448,,"8,896.00"
,,,04/07/2026,,"59,751.05 (9%)",,"701,043.00"
,,,04/07/2026,,13614.04,,"211,972.04"
,,,04/07/2026,,,,"5,000.00"
,,,04/07/2026,,,,"20,000.00"
,,,04/07/2026,,"3,648",,"64,256.00"
,,,04/07/2026,,25812.5,,"274,925.00"
,,,04/07/2026,,,,"5,000.00"
,,,04/06/2026,,81115.8,,"1,351,544.00"
,,,04/06/2026,,8545,,"288,000.00"
,,,04/06/2026,,8545,,"8,500.00"
